City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Salalah,OM,17.0151,54.0924,80.69,54,0,3.44,clear sky
293,Mizdah,LY,31.4451,12.9801,60.13,59,2,6.98,clear sky
294,Majene,ID,-3.5403,118.9707,85.08,70,81,6.06,broken clouds
295,Nokaneng,BW,-19.6667,22.2667,73.4,54,4,1.57,clear sky
296,Tigil,RU,57.8,158.6667,32.94,97,100,14.97,light snow
297,Prainha,BR,-1.8,-53.48,73.02,93,51,2.91,broken clouds
298,Hun,LY,29.1268,15.9477,64.47,40,1,4.0,clear sky
299,Oliveira,BR,-20.6964,-44.8272,61.99,93,86,8.01,overcast clouds
300,Grand Gaube,MU,-20.0064,57.6608,74.37,86,58,1.01,broken clouds
301,Oskarshamn,SE,57.2645,16.4484,45.99,92,65,7.29,broken clouds
302,San Policarpo,PH,12.1791,125.5072,84.74,68,15,14.32,few clouds
303,Puro,PH,12.4841,123.3827,85.23,69,38,12.3,scattered clouds
304,Ndioum,SN,16.5129,-14.6471,83.43,39,100,9.64,overcast clouds
305,Laguna,US,38.421,-121.4238,67.08,89,1,0.0,mist
306,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,81,90,20.71,moderate rain
307,Hokitika,NZ,-42.7167,170.9667,61.12,71,51,7.87,broken clouds
308,Lufilufi,WS,-13.8745,-171.5986,82.18,75,97,17.2,overcast clouds
309,Ambon,ID,-3.6954,128.1814,87.94,66,40,8.05,scattered clouds
310,Kranjska Gora,SI,46.4839,13.7894,40.87,65,89,4.54,overcast clouds
311,Straumen,NO,63.8709,11.2999,55.4,86,89,6.62,overcast clouds
312,Kinsale,IE,51.7075,-8.5306,43.97,93,20,6.91,few clouds
313,Robertsport,LR,6.7533,-11.3686,75.79,90,100,5.95,moderate rain
314,Katsuura,JP,35.1333,140.3,66.24,50,21,4.76,few clouds
315,Inta,RU,66.0317,60.1659,10.09,97,99,2.3,overcast clouds
316,Westport,US,41.1415,-73.3579,55.8,92,90,14.0,moderate rain
317,Gat,IL,31.61,34.7642,70.39,75,100,0.83,overcast clouds
318,Preston,GB,53.7667,-2.7167,52.48,90,100,1.99,moderate rain
319,Bonfim,BR,3.0833,-59.95,79.59,71,57,2.06,broken clouds
320,Ust-Omchug,RU,61.15,149.6333,6.01,93,66,3.78,broken clouds
321,Elk Point,US,42.6833,-96.6836,44.15,59,2,2.24,clear sky
322,Tuatapere,NZ,-46.1333,167.6833,63.28,76,100,8.93,overcast clouds
323,Honiara,SB,-9.4333,159.95,87.17,69,44,10.49,scattered clouds
324,Ukiah,US,39.1502,-123.2078,63.64,87,40,0.0,scattered clouds
325,Palauig,PH,15.435,119.9045,85.12,62,95,5.64,overcast clouds
326,Fort-Shevchenko,KZ,44.5086,50.263,50.83,86,1,7.2,clear sky
327,Bassila,BJ,9.0081,1.6654,72.45,89,77,3.94,broken clouds
328,Beloha,MG,-25.1667,45.05,67.33,59,79,15.88,broken clouds
329,Palana,RU,59.1167,159.9667,32.16,86,100,21.34,light snow
330,Kasongo-Lunda,CD,-6.4667,16.8167,68.27,99,82,0.51,broken clouds
331,Mikhaylovka,RU,50.06,43.2379,36.77,84,0,2.95,clear sky
332,Fortuna,US,40.5982,-124.1573,59.47,74,90,0.0,overcast clouds
333,Kieta,PG,-6.2167,155.6333,84.83,73,100,8.32,light rain
334,Tadine,NC,-21.55,167.8833,76.55,67,37,5.59,scattered clouds
335,Mirnyy,RU,62.5353,113.9611,21.09,72,100,7.63,overcast clouds
336,Portel,BR,-1.9356,-50.8211,72.91,94,49,2.62,scattered clouds
337,Vila Do Maio,CV,15.1333,-23.2167,75.99,76,98,10.54,overcast clouds
338,Alyangula,AU,-13.8483,136.4192,93.07,52,40,14.97,scattered clouds
339,Kibre Mengist,ET,5.8833,38.9833,53.42,80,42,2.64,scattered clouds
340,Ilulissat,GL,69.2167,-51.1,26.62,80,40,2.3,scattered clouds
341,Bundibugyo,UG,0.7414,30.0417,65.62,96,100,3.58,overcast clouds
342,Teahupoo,PF,-17.8333,-149.2667,73.36,77,59,14.58,light rain
343,Corinto,GR,37.9407,22.9573,61.9,64,85,1.01,overcast clouds
344,Mackay,AU,-21.15,149.2,92.68,58,3,16.11,clear sky
345,Natal,BR,-5.795,-35.2094,77.65,88,20,8.05,few clouds
346,Mucuri,BR,-18.0864,-39.5508,73.51,85,45,5.68,scattered clouds
347,Kon Tum,VN,14.35,108.0,84.22,60,77,2.55,broken clouds
