City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
197,Banda Aceh,ID,77.54,heavy intensity rain,5.5577,95.3222,Sulthan Hotel International
198,Iquique,CL,59.04,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
201,Hasaki,JP,70.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
205,Scottsbluff,US,59.77,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
206,Roswell,US,51.96,overcast clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
207,Victoria,HK,80.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
211,Moree,AU,82.42,scattered clouds,-29.4667,149.85,Molika Springs Motel
212,Fez,MA,55.65,clear sky,34.0372,-4.9998,Hotel Mounia Fès
218,Half Moon Bay,US,64.63,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
219,Nishihara,JP,82.06,scattered clouds,26.1842,127.7558,Minshuku Agaihama
223,Kirovskiy,RU,53.37,overcast clouds,45.0917,133.5136,"Uyut, Gostinitsa"
224,Forbes,AU,70.92,clear sky,-33.3833,148.0167,Lake Forbes Motel
225,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Punto de encuentro
226,Dong Hoi,VN,79.41,overcast clouds,17.4833,106.6,Nam Long Hotel
227,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
228,Port Augusta,AU,70.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
229,Saint Simons,US,61.02,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
230,Camacha,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
231,Nioro,GM,77.74,overcast clouds,13.35,-15.75,
232,San Patricio,US,71.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
233,Tema,GH,79.21,light rain,5.667,-0.0166,Beulah Royale Hotel Tema
234,Bhigvan,IN,78.37,overcast clouds,18.3167,74.7667,Hotel Sagar
235,Antsohihy,MG,78.06,overcast clouds,-14.8796,47.9875,Hotel de Ville
239,Dingle,PH,82.8,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
241,Kasama,ZM,65.03,few clouds,-10.2129,31.1808,Kalebalika Cottages
242,Raudeberg,NO,60.58,overcast clouds,61.9875,5.1352,Nordre Silda.
244,Yelizovo,RU,50.14,clear sky,53.1873,158.3805,Kamchatskiy Stil' Hostel
245,Lecce,IT,58.46,mist,40.2167,18.1667,Hotel Hermitage
246,Alta Floresta,BR,72.73,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
248,Avera,US,55.71,broken clouds,33.194,-82.5271,
250,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
251,Ironton,US,57.6,overcast clouds,38.5368,-82.6829,Best Western River Cities
252,Huarmey,PE,63.73,broken clouds,-10.0681,-78.1522,Hotel Miramar
253,Diamantino,BR,75.97,overcast clouds,-14.4086,-56.4461,Hotel Delta
254,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
256,Mana,GF,78.3,broken clouds,5.6592,-53.7767,LE SAMANA
257,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
259,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
260,Aksu,CN,54.14,light rain,41.1231,80.2644,Pudong Holiday Hotel
262,Gweta,BW,74.91,light rain,-20.1833,25.2333,Gweta Lodge
263,Omboue,GA,76.06,moderate rain,-1.5746,9.2618,Hotel Olako
265,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
266,Weligama,LK,82.06,overcast clouds,5.9667,80.4167,Weligama Bay Resort
268,Kroya,ID,84.74,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
269,Tame,CO,70.83,light rain,6.461,-71.73,Hospedaje Santa Ana
270,Ribeira Grande,PT,70.23,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
271,Saurimo,AO,63.54,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
272,La Palma,US,77.5,fog,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
273,Thinadhoo,MV,83.62,broken clouds,0.5333,72.9333,
274,Chuy,UY,64.18,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
276,Fuling,CN,67.66,few clouds,29.7022,107.3919,Yingbin Hostel
277,Taoudenni,ML,78.24,overcast clouds,22.6783,-3.9836,
278,Viransehir,TR,59.41,overcast clouds,37.2353,39.7631,Viranşehir Öğretmenevi
280,Carutapera,BR,76.35,overcast clouds,-1.195,-46.02,Lidera
281,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
287,Marawi,PH,76.64,scattered clouds,7.9986,124.2928,Derogongan Residence
289,Tual,ID,84.15,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
292,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
293,Mizdah,LY,60.13,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
295,Nokaneng,BW,73.4,clear sky,-19.6667,22.2667,
297,Prainha,BR,73.02,broken clouds,-1.8,-53.48,Casa Rocha
298,Hun,LY,64.47,clear sky,29.1268,15.9477,Alrwasi Hotel
299,Oliveira,BR,61.99,overcast clouds,-20.6964,-44.8272,Hotel Vila Mineira | Oliveira MG
300,Grand Gaube,MU,74.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
302,San Policarpo,PH,84.74,few clouds,12.1791,125.5072,Agapita M. Nicart
304,Ndioum,SN,83.43,overcast clouds,16.5129,-14.6471,l'hôtel samassa
305,Laguna,US,67.08,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
